model,GPU type,Num of GPUs,batch_size,dataset,epochs,mode
bigscience/bloom-3b,P100,2,4,,,
densenet169,P100,2,32,mnist,2,dp
densenet201,P100,2,128,cifar10,6,dp
facebook/opt350m,P100,2,2,,,
mobilenet_v2,P100,1,64,mnist,3,
resnet18,P100,4,32,cifar100,6,dp
facebook/opt125m,P100,1,1,,,
densenet161,P100,4,32,cifar10,5,ddp
facebook/opt350m,P100,1,32,,,
mobilenet_v2,P100,4,128,cifar10,4,ddp
facebook/opt1.3b,P100,2,8,,,
densenet161,P100,1,64,cifar100,2,
mobilenet_v2,P100,4,32,mnist,6,ddp
resnet101,P100,4,64,cifar10,1,ddp
facebook/opt125m,P100,4,4,,,
facebook/opt1.3b,P100,4,4,,,
facebook/opt2.7b,P100,2,4,,,
densenet169,P100,4,64,mnist,2,ddp
resnet50,P100,4,32,mnist,5,ddp
facebook/opt1.3b,P100,2,2,,,
facebook/opt125m,P100,2,2,,,
densenet201,P100,2,64,cifar100,7,ddp
facebook/opt1.3b,P100,4,2,,,
facebook/opt125m,P100,2,4,,,
bigscience/bloom-3b,P100,2,2,,,
resnet34,P100,2,64,mnist,5,dp
facebook/opt1.3b,P100,1,8,,,
densenet201,P100,2,128,cifar10,7,ddp
densenet121,P100,2,128,cifar100,4,dp
bigscience/bloom-3b,P100,2,4,,,
facebook/opt350m,P100,1,32,,,
resnet152,P100,2,128,cifar100,3,dp
