index, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
0, 0 %, 0 %, 0 MiB
1, 0 %, 0 %, 0 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 0 %, 0 %, 0 MiB
1, 0 %, 0 %, 0 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 0 %, 0 %, 0 MiB
1, 0 %, 0 %, 0 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 3 MiB
3, 0 %, 0 %, 3 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 3 MiB
3, 0 %, 0 %, 3 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 3 MiB
3, 0 %, 0 %, 3 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 3 MiB
3, 0 %, 0 %, 3 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 3 MiB
3, 0 %, 0 %, 3 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 3 MiB
3, 0 %, 0 %, 3 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 3 MiB
3, 0 %, 0 %, 3 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 3 MiB
3, 0 %, 0 %, 3 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 3 MiB
3, 0 %, 0 %, 3 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 3 MiB
3, 0 %, 0 %, 3 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 3 MiB
3, 0 %, 0 %, 3 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 3 MiB
3, 0 %, 0 %, 3 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 3 MiB
3, 0 %, 0 %, 3 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 3 MiB
3, 0 %, 0 %, 3 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 3 MiB
3, 0 %, 0 %, 3 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 11 MiB
2, 0 %, 0 %, 11 MiB
3, 0 %, 0 %, 11 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 257 MiB
2, 0 %, 0 %, 257 MiB
3, 0 %, 0 %, 257 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 257 MiB
2, 0 %, 0 %, 257 MiB
3, 0 %, 0 %, 257 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 257 MiB
2, 0 %, 0 %, 257 MiB
3, 0 %, 0 %, 257 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 257 MiB
2, 0 %, 0 %, 257 MiB
3, 0 %, 0 %, 257 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 257 MiB
2, 0 %, 0 %, 257 MiB
3, 0 %, 0 %, 257 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 257 MiB
2, 0 %, 0 %, 257 MiB
3, 0 %, 0 %, 257 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 257 MiB
2, 0 %, 0 %, 257 MiB
3, 0 %, 0 %, 257 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 257 MiB
2, 0 %, 0 %, 257 MiB
3, 0 %, 0 %, 257 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 257 MiB
2, 0 %, 0 %, 257 MiB
3, 0 %, 0 %, 257 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 257 MiB
2, 0 %, 0 %, 257 MiB
3, 0 %, 0 %, 257 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 257 MiB
2, 0 %, 0 %, 257 MiB
3, 0 %, 0 %, 257 MiB
0, 0 %, 0 %, 11 MiB
1, 34 %, 0 %, 2047 MiB
2, 4 %, 0 %, 2047 MiB
3, 9 %, 0 %, 2239 MiB
0, 81 %, 1 %, 2911 MiB
1, 82 %, 1 %, 4929 MiB
2, 83 %, 1 %, 4897 MiB
3, 85 %, 1 %, 5025 MiB
0, 91 %, 46 %, 5491 MiB
1, 92 %, 47 %, 5531 MiB
2, 93 %, 47 %, 5531 MiB
3, 91 %, 47 %, 5531 MiB
0, 69 %, 29 %, 5631 MiB
1, 93 %, 48 %, 5631 MiB
2, 93 %, 48 %, 5631 MiB
3, 73 %, 37 %, 5631 MiB
0, 91 %, 47 %, 5631 MiB
1, 0 %, 0 %, 5631 MiB
2, 0 %, 0 %, 5631 MiB
3, 0 %, 0 %, 5631 MiB
0, 0 %, 0 %, 5631 MiB
1, 81 %, 5 %, 3 MiB
2, 73 %, 5 %, 3 MiB
3, 30 %, 2 %, 3 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 3 MiB
3, 0 %, 0 %, 3 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 3 MiB
3, 0 %, 0 %, 3 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 3 MiB
3, 0 %, 0 %, 3 MiB
