procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 114267120  94300 16360192    0    0     8     1    4   12  0  0 100  0  0
 1  0      0 114093840  94300 16360200    0    0     0     0  817  552  2  0 97  0  0
 0  0      0 114045216  94300 16360200    0    0     0     0  549  434  2  0 98  0  0
 1  0      0 113970800  94312 16360560    0    0     0   252  605  722  2  0 98  0  0
 1  0      0 113926704  94312 16360568    0    0     0   252  613  405  2  0 98  0  0
 2  0      0 113785840  94312 16360568    0    0     0     0  793  468  3  0 97  0  0
 2  0      0 113620144  94312 16360568    0    0     0     0 1118  388  4  0 96  0  0
 2  0      0 113470464  94312 16360568    0    0     0     0  980  369  4  0 96  0  0
 2  0      0 113318232  94320 16360564    0    0     0   196 1175  549  3  0 97  0  0
 2  0      0 113275616  94320 16360604    0    0     0    12 1129  585  3  0 96  0  0
 1  0      0 113219936  94320 16360616    0    0     0     0  682  440  2  0 98  0  0
 5  0      0 113060176  94320 16360636    0    0     0     0  880  393  3  0 97  0  0
 2  0      0 112968192  94320 16360636    0    0     0     0 1395  417  4  0 96  0  0
 2  0      0 112767104  94320 16360640    0    0     0   100 1296  599  4  0 96  0  0
 2  0      0 112693080  94320 16360644    0    0     0    92 1108  353  3  0 97  0  0
 2  0      0 112638496  94320 16360644    0    0     0   264 1290  520  3  0 97  0  0
 1  0      0 112579000  94332 16360300    0    0     0   152  759  623  2  0 98  0  0
 2  0      0 112469888  94332 16360640    0    0     0     0  594  481  2  0 98  0  0
 2  0      0 112328856  94332 16360640    0    0     0     8 1175  544  3  0 96  0  0
 2  0      0 111810192  94332 16360640    0    0     0     0 1271  884  4  1 95  0  0
 1  0      0 111685280  94332 16376132    0    0     0    12 1365  668  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 111668016  94340 16376512    0    0     0   196  929  520  3  0 96  0  0
 1  0      0 112606936  94340 16361028    0    0     0     0 1268  450  3  0 97  0  0
 0  0      0 112884192  94340 16360636    0    0     0     0  221  218  1  0 99  0  0
 1  0      0 112897744  94340 16360636    0    0     0     0  277  179  1  0 99  0  0
 1  0      0 113603040  94340 16360628    0    0     0     0  940  690  3  0 97  0  0
