procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 102787480 100500 27941416    0    0     2     3    0    0  0  0 100  0  0
 1  0      0 102612064 100500 27941424    0    0     0     0 1418  377  5  0 95  0  0
 4  0      0 102523136 100504 27941428    0    0     0   124  701  487  2  0 98  0  0
 4  0      0 101886656 100504 27941428    0    0     0   200 2218 4990  6  1 93  0  0
 4  0      0 101723864 100504 27941428    0    0     0     0 1464  355  7  0 93  0  0
 3  0      0 101522512 100504 27941436    0    0     0     0 1514  391  7  1 93  0  0
 4  0      0 101420624 100504 27941528    0    0     0     4 1865 2522  6  1 93  0  0
 4  0      0 100086448 100504 27941540    0    0     0   184 1478  378  5  2 93  0  0
 4  0      0 99970784 100504 27941540    0    0     0     0 1477  228  7  0 93  0  0
 3  0      0 99379536 100504 27941540    0    0     0     0 2354 1578  0  4 96  0  0
10  0      0 98097824 100508 28468332    0    0     0     0 29152 53597  8  3 88  0  0
 5  0      0 97143000 100508 28566660    0    0     0     0 5031 2347  7  2 91  0  0
 7  0      0 97116648 100508 28591152    0    0     0    68 2352 1619  9  1 90  0  0
 8  0      0 97146016 100508 28560720    0    0     0     0 2007 1427  8  1 91  0  0
 4  0      0 97146368 100508 28561052    0    0     0     0 2295 1776  8  1 90  0  0
 8  0      0 97113016 100508 28587584    0    0     0     0 2044 1525  8  1 91  0  0
 4  0      0 97146144 100508 28561600    0    0     0     4 2133 1314  8  1 91  0  0
 4  0      0 97142720 100512 28562260    0    0     0    32 2240 1799  9  1 90  0  0
 8  0      0 97145920 100512 28560952    0    0     0     0 2201 1519  8  1 91  0  0
 4  0      0 97139192 100512 28563164    0    0     0     0 2130 1669  8  1 91  0  0
 4  0      0 97141184 100512 28562740    0    0     0     0 2159 1600  8  1 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 97144080 100512 28561420    0    0     0     0 1926 1371  8  1 91  0  0
 4  0      0 97143080 100512 28561164    0    0     0    16 2281 1787  8  1 91  0  0
 8  0      0 97095536 100512 28612580    0    0     0     0 2127 1546  8  1 90  0  0
 4  0      0 97145904 100512 28560932    0    0     0     0 2209 1399  8  1 91  0  0
 4  0      0 97142064 100512 28562160    0    0     0     0 2041 1703  8  1 91  0  0
 8  0      0 97147824 100512 28561400    0    0     0     0 2086 1488  8  1 91  0  0
 4  0      0 97149072 100512 28561344    0    0     0    16 2113 1589  8  1 91  0  0
 4  0      0 97152448 100512 28562016    0    0     0     0 2087 1723  8  1 91  0  0
 8  0      0 97148064 100512 28562168    0    0     0     0 1871 1369  8  1 91  0  0
 8  0      0 97099232 100512 28608888    0    0     0     0 2105 1522  8  1 91  0  0
 8  0      0 97067952 100512 28636692    0    0     0    76 2058 1837  8  1 90  0  0
 4  0      0 97143248 100512 28561660    0    0     0   320 2098 1334  8  1 91  0  0
 4  0      0 97144224 100512 28561560    0    0     0     0 2105 1697  8  1 91  0  0
 8  0      0 97142584 100512 28560864    0    0     0     0 2108 1501  8  1 91  0  0
 4  0      0 97142976 100512 28560980    0    0     0     0 1948 1541  8  1 91  0  0
 4  0      0 97143272 100512 28561400    0    0     0   136 2100 1792  8  1 91  0  0
 8  0      0 97142592 100516 28562160    0    0     0    52 1899 1484  8  1 91  0  0
 4  0      0 97145064 100516 28560576    0    0     0     0 2192 1670  8  1 90  0  0
 8  0      0 97068288 100516 28637060    0    0     0     0 1988 1617  8  1 91  0  0
 4  0      0 97143120 100516 28561308    0    0     0     0 1997 1438  8  1 91  0  0
 8  0      0 97145656 100516 28561200    0    0     0     0 2110 1423  8  1 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 97142592 100520 28561444    0    0     0    16 2199 1756  8  1 91  0  0
 4  0      0 97144312 100520 28561208    0    0     0     0 2078 1542  8  1 91  0  0
 4  0      0 97144880 100520 28563116    0    0     0     0 2032 1728  8  1 91  0  0
 4  0      0 97143632 100520 28560804    0    0     0     0 1989 1298  8  1 91  0  0
 4  0      0 97142624 100520 28561772    0    0     0     0 2170 1689  8  1 91  0  0
 8  0      0 97069128 100520 28635420    0    0     0    32 2113 1602  8  1 91  0  0
 4  0      0 97144768 100520 28561812    0    0     0     0 2045 1494  8  1 91  0  0
 4  0      0 97145024 100520 28560584    0    0     0     0 2155 1564  8  1 90  0  0
 8  0      0 97144880 100520 28560988    0    0     0     0 2272 1615  8  1 91  0  0
 4  0      0 97144344 100520 28560096    0    0     0     0 2238 1575  8  1 91  0  0
 4  0      0 97144784 100524 28561336    0    0     0    32 2062 1320  8  1 91  0  0
 4  0      0 97142960 100524 28560776    0    0     0     0 2140 1690  8  1 91  0  0
 4  0      0 97140184 100524 28561696    0    0     0     0 2298 1721  9  1 90  0  0
 8  0      0 97084920 100524 28617692    0    0     0     0 2086 1592  8  1 91  0  0
 4  0      0 97138336 100524 28560336    0    0     0     0 2087 1439  8  1 91  0  0
 4  0      0 97142728 100528 28562188    0    0     0    32 2194 1592  9  1 90  0  0
 8  0      0 97144680 100528 28561216    0    0     0     0 2072 1631  8  1 91  0  0
 4  0      0 97146008 100528 28561068    0    0     0     0 2089 1568  8  1 91  0  0
 4  0      0 97142608 100528 28562572    0    0     0     0 2027 1573  8  1 91  0  0
 4  0      0 97149104 100528 28561456    0    0     0     0 2029 1457  8  1 91  0  0
 4  0      0 97147016 100528 28560636    0    0     0    32 2374 1748  8  1 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 97141264 100528 28560912    0    0     0     0 2042 1383  8  1 91  0  0
 4  0      0 97142288 100528 28561084    0    0     0     0 2063 1692  8  1 91  0  0
 4  0      0 97141688 100528 28561656    0    0     0     0 2038 1569  8  1 91  0  0
 8  0      0 97145136 100528 28561296    0    0     0     0 1947 1617  8  1 91  0  0
 4  0      0 97147264 100528 28560840    0    0     0    96 2131 1538  8  1 91  0  0
 4  0      0 97145744 100528 28562836    0    0     0     4 2068 1630  8  1 91  0  0
 4  0      0 97142832 100528 28560720    0    0     0     0 1944 1439  8  1 91  0  0
 4  0      0 97145248 100528 28561320    0    0     0     0 2114 1652  8  1 91  0  0
 9  0      0 97065520 100528 28636760    0    0     0     0 2166 1627  8  1 91  0  0
 4  0      0 97143736 100528 28560688    0    0     0    24 1984 1490  8  1 91  0  0
 4  0      0 97143824 100528 28560816    0    0     0     0 2161 1558  8  1 91  0  0
 4  0      0 97146304 100528 28562020    0    0     0     0 1985 1387  8  1 91  0  0
 4  0      0 97141328 100528 28560864    0    0     0     0 2297 1742  9  1 90  0  0
 6  0      0 97103136 100528 28599440    0    0     0   200 2203 1639  8  1 90  0  0
 4  0      0 97142992 100528 28561664    0    0     0    48 2167 1453  8  1 91  0  0
 4  0      0 97142608 100528 28561776    0    0     0     0 2192 1774  9  1 90  0  0
 8  0      0 97089824 100528 28617616    0    0     0     0 2022 1574  8  1 91  0  0
 4  0      0 97140632 100528 28561120    0    0     0     0 1985 1513  8  1 91  0  0
 4  0      0 97142128 100528 28561580    0    0     0     0 2192 1606  9  1 90  0  0
 8  0      0 97142272 100528 28561384    0    0     0    16 2044 1535  8  1 91  0  0
 4  0      0 97144416 100528 28561044    0    0     0     0 2133 1662  8  1 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 97104048 100528 28599560    0    0     0     0 2092 1572  8  1 90  0  0
 4  0      0 97141712 100528 28560940    0    0     0     0 2172 1294  8  1 91  0  0
 4  0      0 97141984 100528 28561560    0    0     0     0 2195 1865  9  1 90  0  0
 8  0      0 97084752 100532 28617600    0    0     0    16 2041 1478  8  1 91  0  0
 4  0      0 97139000 100532 28561128    0    0     0     0 2016 1634  8  1 91  0  0
 4  0      0 97146576 100532 28561796    0    0     0     0 2143 1579  8  1 91  0  0
 8  0      0 97144032 100532 28560788    0    0     0     0 1884 1476  8  1 91  0  0
 4  0      0 97142176 100532 28560332    0    0     0     0 2108 1675  8  1 91  0  0
 4  0      0 97139952 100532 28562104    0    0     0    16 2044 1574  8  1 91  0  0
 4  0      0 97142840 100532 28560424    0    0     0     8 2089 1339  8  1 91  0  0
 4  0      0 97144112 100532 28560448    0    0     0     0 2121 1791  8  1 91  0  0
 8  0      0 97113184 100532 28592264    0    0     0     0 2062 1405  8  1 90  0  0
 4  0      0 97144656 100532 28560264    0    0     0     4 2033 1574  8  1 91  0  0
 4  0      0 97142536 100532 28561864    0    0     0    24 2186 1760  9  1 90  0  0
 8  0      0 97141416 100532 28560436    0    0     0     8 2051 1474  8  1 91  0  0
 7  0      0 97084136 100532 28616644    0    0     0     0 2028 1711  8  1 91  0  0
 4  0      0 97136448 100532 28562700    0    0     0     0 2164 1615  8  1 91  0  0
 4  0      0 97137072 100532 28560616    0    0     0     0 2022 1320  8  1 91  0  0
 4  0      0 97141048 100536 28560736    0    0     0    72 2303 1840  9  1 90  0  0
 8  0      0 97081624 100536 28623644    0    0     0     8 1958 1331  8  1 91  0  0
 4  0      0 97142528 100536 28560632    0    0     0     0 1932 1493  8  1 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 97141640 100536 28561484    0    0     0     0 2147 1724  8  1 91  0  0
 4  0      0 96928048 100536 28560712    0    0     0     0 2096 1427  8  1 91  0  0
 4  0      0 96925816 100540 28562600    0    0     0    24 2131 1601  8  1 91  0  0
 4  0      0 96928240 100540 28561164    0    0     0     0 1966 1441  8  1 91  0  0
 4  0      0 96927616 100540 28560728    0    0     0     0 2174 1613  8  1 91  0  0
 4  0      0 96928800 100540 28560848    0    0     0     0 1952 1403  8  1 91  0  0
 4  0      0 96923368 100540 28561016    0    0     0     0 2278 1679  9  1 90  0  0
 4  0      0 96923232 100540 28561324    0    0     0    16 2072 1554  8  1 91  0  0
 8  0      0 96923856 100540 28560884    0    0     0     0 1971 1439  8  1 91  0  0
 4  0      0 96922960 100540 28560784    0    0     0     0 2249 1612  8  1 91  0  0
 5  0      0 96914064 100540 28568864    0    0     0     0 2045 1552  8  1 91  0  0
 4  0      0 96921568 100540 28561632    0    0     0     0 2020 1530  8  1 91  0  0
 4  0      0 96919456 100540 28561712    0    0     0    32 2319 1631  8  1 91  0  0
 8  0      0 96920640 100540 28563212    0    0     0     0 2110 1443  8  1 91  0  0
 4  0      0 96919472 100540 28560820    0    0     0     0 2173 1697  8  1 91  0  0
 4  0      0 96919744 100540 28561528    0    0     0     0 2129 1561  8  1 91  0  0
 4  0      0 96926704 100540 28560240    0    0     0     0 1967 1313  8  1 91  0  0
 4  0      0 96927648 100540 28560528    0    0     0    32 2212 1851  9  1 90  0  0
 7  0      0 96892592 100540 28592028    0    0     0     0 2126 1543  8  1 90  0  0
 4  0      0 96925568 100540 28561004    0    0     0     0 2070 1540  8  1 91  0  0
 4  0      0 96924400 100540 28560728    0    0     0     0 2231 1642  8  1 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 96922000 100540 28560788    0    0     0     0 2084 1510  8  1 91  0  0
 4  0      0 96924792 100544 28560384    0    0     0    20 2189 1706  8  1 91  0  0
 4  0      0 96926176 100544 28562360    0    0     0     8 2216 1597  8  1 90  0  0
 8  0      0 96924928 100544 28560644    0    0     0     0 2062 1408  8  1 91  0  0
 4  0      0 96923616 100544 28560808    0    0     0     0 2308 1788  9  1 90  0  0
 6  0      0 96913424 100544 28572792    0    0     0     0 2164 1496  8  1 90  0  0
 4  0      0 96923408 100544 28560660    0    0     0    16 2083 1456  8  1 91  0  0
 4  0      0 96920736 100544 28560876    0    0     0     0 2123 1746  9  1 91  0  0
 8  0      0 96921072 100544 28561804    0    0     0     0 2009 1493  8  1 91  0  0
 4  0      0 96920440 100544 28562224    0    0     0     0 2105 1695  8  1 91  0  0
 4  0      0 96919632 100544 28561568    0    0     0     0 2189 1641  8  1 91  0  0
 8  0      0 96924640 100552 28561464    0    0     0    52 2181 1428  8  1 91  0  0
 4  0      0 96921936 100552 28560880    0    0     0     0 2207 1763  8  1 91  0  0
 6  0      0 96910896 100552 28574408    0    0     0     4 2037 1570  8  1 91  0  0
 4  0      0 96923120 100552 28561492    0    0     0     0 2011 1401  8  1 91  0  0
 4  0      0 96919328 100552 28561640    0    0     0     0 2193 1738  9  1 90  0  0
 8  0      0 96917552 100556 28560648    0    0     0    32 2133 1519  8  1 91  0  0
 4  0      0 96918320 100556 28560304    0    0     0     0 2208 1585  8  1 91  0  0
 4  0      0 96920920 100556 28561364    0    0     0     0 2092 1739  8  1 90  0  0
 8  0      0 96924232 100556 28560588    0    0     0   132 2170 1453  8  1 91  0  0
 8  0      0 96891848 100556 28591952    0    0     0     0 2133 1557  8  1 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 96874432 100560 28609240    0    0     0    40 2295 1781  8  1 90  0  0
 4  0      0 96924080 100560 28560952    0    0     0     0 2132 1374  8  1 91  0  0
 4  0      0 96918256 100560 28561020    0    0     0     0 2279 1773  9  1 90  0  0
 8  0      0 96919656 100560 28560520    0    0     0     0 2126 1537  8  1 90  0  0
 4  0      0 96917872 100560 28560596    0    0     0     0 2158 1537  8  1 91  0  0
 4  0      0 96915448 100564 28562356    0    0     0    16 2070 1765  8  1 90  0  0
 8  0      0 96917264 100564 28560804    0    0     0     0 2065 1389  8  1 91  0  0
